Index;Country;IQ;Earnings Year $;Education Budget Year $;Daily Max Tempeture
1;Singapore;108;25561;906;31.5
2;HongKong;108;25419;915;26.2
3;Taiwan;106;;;26.9
4;SouthKorea;106;13759;522;18.2
5;Japan;105;36784;1242;20.1
6;China;104;1374;27;19.6
7;Switzerland;102;50054;2465;15.1
8;Netherlands;102;33689;1685;14.4
9;NorthKorea;102;;;15.2
10;Macao;101;20608;624;25.9
11;Iceland;101;34861;2417;8.1
12;Finland;101;31447;1985;8.2
13;Canada;101;27683;1657;7.3
14;Belgium;100;30741;1682;14.8
15;Germany;100;30892;1386;13.7
16;UnitedKingdom;100;30986;1443;12.8
17;Austria;100;32004;1762;13.1
18;NewZealand;100;18676;1283;17.3
19;Norway;99;48287;3527;8.8
20;Sweden;99;36480;2337;9.8
21;Luxembourg;99;54254;2286;14.6
22;Czechia;99;9283;385;12.7
23;Estonia;99;9575;458;10.1
24;Australia;99;25665;1388;24.4
25;France;98;29484;1607;16.7
26;UnitedStates;98;36470;1909;18.7
27;Malta;97;12385;615;23.1
28;Portugal;95;14181;724;21.2
29;Israel;94;19376;1224;25.5
30;Belarus;93;2523;139;11.8
31;Uruguay;93;5854;154;23.4
32;Armenia;92;1305;32;14.8
33;Georgia;92;1313;38;20.3
34;Bulgaria;91;2800;111;18.2
35;Suriname;88;2780;;31.9
36;Cambodia;88;428;7;32.5
37;Azerbaijan;87;1502;59;21.7
38;Mauritius;87;4557;166;26.9
39;Venezuela;85;4812;241;32.4
40;Bolivia;85;1021;67;27.0
41;Kuwait;85;29283;1630;34.2
42;TrinidadandTobago;85;7984;274;32.2
43;Cuba;84;3257;312;30.0
44;Iran;84;2842;120;23.9
45;Montenegro;84;4528;;21.0
46;Indonesia;84;1082;29;31.8
47;PapuaNewGuinea;83;866;;30.3
48;Ecuador;83;2343;68;24.3
49;MarshallIslands;83;3099;272;29.9
50;PuertoRico;83;10995;;30.4
51;Uzbekistan;83;671;;21.7
52;Bahrain;83;12993;401;32.6
53;Tajikistan;83;317;12;20.2
54;Paraguay;83;1983;78;29.1
55;Fiji;83;2705;152;29.5
56;DominicanRepublic;82;2757;46;31.9
57;Peru;82;2299;76;25.9
58;Syria;82;1129;58;25.3
59;BosniaandHerzegovina;82;2617;;18.6
60;NewCaledonia;82;16180;;27.2
61;Kiribati;81;1382;110;31.5
62;India;81;571;22;30.4
63;Yemen;81;597;56;32.2
64;Vanuatu;80;1582;120;29.5
65;Afghanistan;80;340;13;24.3
66;Panama;79;4276;187;30.9
67;ElSalvador;79;1912;69;31.1
68;Barbados;78;10989;639;30.3
69;Guatemala;78;1700;42;27.3
70;Maldives;77;3501;166;31.0
71;Nepal;77;276;10;24.9
72;CapeVerde;73;1766;119;27.2
73;Zambia;72;557;13;28.9
74;Zimbabwe;72;572;122;27.1
75;Kenya;71;474;32;28.4
76;Somalia;71;;;30.4
77;Tanzania;71;370;14;29.6
78;Sudan;70;548;14;36.5
79;Nigeria;70;840;;33.7
80;Jamaica;70;3073;156;31.8
81;Ghana;69;522;34;32.1
82;Lesotho;66;810;64;22.5
83;Benin;65;492;18;33.1
84;Togo;65;377;16;33.4
85;Rwanda;65;308;14;26.7
86;Mozambique;65;293;11;29.3
87;CentralAfrica;64;360;6;32.5
88;Congo(Dem.Republic);63;217;3;30.3
89;BurkinaFaso;63;336;13;35.4
90;Djibouti;63;822;73;33.9
91;Eritrea;63;351;13;29.2
92;Guinea-Bissau;62;316;13;33.4
93;Ethiopia;61;190;8;27.2
94;Senegal;60;878;37;35.3
95;Gambia;60;566;12;32.9
96;Timor-Leste;60;1552;96;30.9
97;Gabon;60;4857;191;29.8
98;SaoTomeandPrincipe;58;904;53;28.6
99;EquatorialGuinea;56;3369;158;30.0
